"","origin","year","month","day","hour","temp","dewp","humid","wind_dir","wind_speed","wind_gust","precip","pressure","visib","time_hour"
"30","JFK",2023,1,2,5,43,37,79.19,240,5.7539,6.621473042,0,1017.1,10,2023-01-02 05:00:00
"31","JFK",2023,1,2,6,43,38,82.04,230,5.7539,6.621473042,0,1017.4,10,2023-01-02 06:00:00
"32","JFK",2023,1,2,7,42,38,84.93,230,5.7539,6.621473042,0,1018.5,10,2023-01-02 07:00:00
"33","JFK",2023,1,2,8,39,38,95.78,240,8.05546,9.2700622588,0,1018.3,10,2023-01-02 08:00:00
"34","JFK",2023,1,2,9,41,38,88.62,230,4.60312,5.2971784336,0,1018.8,10,2023-01-02 09:00:00
"35","JFK",2023,1,2,10,41,38,88.62,240,4.60312,5.2971784336,0,1019.1,10,2023-01-02 10:00:00
"36","JFK",2023,1,2,11,42,39,88.67,210,5.7539,6.621473042,0,1019.8,10,2023-01-02 11:00:00
"37","JFK",2023,1,2,12,46,39,76.4,250,10.35702,11.9186514756,0,1020.5,10,2023-01-02 12:00:00
"38","JFK",2023,1,2,13,45,39,79.36,260,10.35702,11.9186514756,0,1020.9,10,2023-01-02 13:00:00
"39","JFK",2023,1,2,14,49,40,70.95,250,9.20624,10.5943568672,0,1021,10,2023-01-02 14:00:00
"40","JFK",2023,1,2,15,51,41,68.23,240,9.20624,10.5943568672,0,1020.6,10,2023-01-02 15:00:00
"41","JFK",2023,1,2,16,53,41,63.38,260,5.7539,6.621473042,0,1019.8,10,2023-01-02 16:00:00
"42","JFK",2023,1,2,17,54,41,61.32,240,4.60312,5.2971784336,0,1019.6,10,2023-01-02 17:00:00
"43","JFK",2023,1,2,18,51,42,71.19,190,4.60312,5.2971784336,0,1019.5,10,2023-01-02 18:00:00
"44","JFK",2023,1,2,19,50,42,74.15,180,9.20624,10.5943568672,0,1020,10,2023-01-02 19:00:00
"45","JFK",2023,1,2,20,50,42,74.15,190,5.7539,6.621473042,0,1020.3,10,2023-01-02 20:00:00
"46","JFK",2023,1,2,21,48,43,82.72,190,11.5078,13.242946084,0,1020.2,10,2023-01-02 21:00:00
"47","JFK",2023,1,2,22,49,44,83.42,180,5.7539,6.621473042,0,1020.4,10,2023-01-02 22:00:00
"48","JFK",2023,1,2,23,48,44,86.28,170,4.60312,5.2971784336,0,1020.9,10,2023-01-02 23:00:00
"49","JFK",2023,1,3,0,48,44,86.28,200,9.20624,10.5943568672,0,1021,10,2023-01-03
"50","JFK",2023,1,3,1,49,45,86.33,220,5.7539,6.621473042,0,1021.4,10,2023-01-03 01:00:00
"51","JFK",2023,1,3,2,48,46,92.74,200,5.7539,6.621473042,0.01,1021.2,10,2023-01-03 02:00:00
"52","JFK",2023,1,3,3,49,47,92.77,170,4.60312,5.2971784336,0.01,1021,9,2023-01-03 03:00:00
"53","JFK",2023,1,3,4,49,46,89.67,0,0,0,1e-04,1020.7,10,2023-01-03 04:00:00
"54","JFK",2023,1,3,5,47,45,93.06,130,2.30156,2.6485892168,0,1020.5,10,2023-01-03 05:00:00
"55","JFK",2023,1,3,6,48,47,95.95,0,0,0,0,1020.1,10,2023-01-03 06:00:00
"56","JFK",2023,1,3,7,48,47,95.95,140,4.60312,5.2971784336,0,1020.2,6,2023-01-03 07:00:00
"57","JFK",2023,1,3,8,47,47,100,110,2.30156,2.6485892168,0,1019.8,6,2023-01-03 08:00:00
"58","JFK",2023,1,3,9,48,48,100,0,0,0,0,1019.4,5,2023-01-03 09:00:00
"59","JFK",2023,1,3,10,48,48,100,120,2.30156,2.6485892168,1e-04,1018.8,6,2023-01-03 10:00:00
"60","JFK",2023,1,3,11,48.2,48.2,100,120,5.7539,6.621473042,1e-04,1018.3,6,2023-01-03 11:00:00
"61","JFK",2023,1,3,12,48.2,48.2,100,140,2.30156,2.6485892168,1e-04,1017.4,6,2023-01-03 12:00:00
"62","JFK",2023,1,3,13,50,49,95.98,130,4.60312,5.2971784336,0,1016.5,5,2023-01-03 13:00:00
"63","JFK",2023,1,3,14,50,49,95.98,160,10.35702,11.9186514756,0,1016.3,7,2023-01-03 14:00:00
"64","JFK",2023,1,3,15,48,48,100,190,5.7539,6.621473042,1e-04,1016.3,10,2023-01-03 15:00:00
"65","JFK",2023,1,3,16,46.4,46.4,100,240,5.7539,6.621473042,0.02,1014.3,2,2023-01-03 16:00:00
"66","JFK",2023,1,3,17,49,49,100,150,2.30156,2.6485892168,0.02,1013.4,2,2023-01-03 17:00:00
"67","JFK",2023,1,3,18,48.2,48.2,100,200,9.20624,10.5943568672,1e-04,1012.8,1.5,2023-01-03 18:00:00
"68","JFK",2023,1,3,19,49,49,100,190,9.20624,10.5943568672,0.01,1011.6,2,2023-01-03 19:00:00
"69","JFK",2023,1,3,20,48.2,48.2,100,180,8.05546,9.2700622588,0,1011,4,2023-01-03 20:00:00
"70","JFK",2023,1,3,21,47,47,100,180,8.05546,9.2700622588,0,1010.7,4,2023-01-03 21:00:00
"71","JFK",2023,1,3,22,47,46,96.66,180,8.05546,9.2700622588,0,1010.3,5,2023-01-03 22:00:00
"72","JFK",2023,1,3,23,46,46,100,200,4.60312,5.2971784336,0,1010.7,5,2023-01-03 23:00:00
"73","JFK",2023,1,4,0,47,47,100,170,2.30156,2.6485892168,0,1010.5,5,2023-01-04
"74","JFK",2023,1,4,1,47,47,100,100,2.30156,2.6485892168,0,1010.1,5,2023-01-04 01:00:00
"75","JFK",2023,1,4,2,47,47,100,170,8.05546,9.2700622588,0,1010,5,2023-01-04 02:00:00
"76","JFK",2023,1,4,3,47,46,96.66,190,5.7539,6.621473042,0,1010,1.5,2023-01-04 03:00:00
"77","JFK",2023,1,4,4,47,46,96.66,190,5.7539,6.621473042,0,1009,6,2023-01-04 04:00:00
"78","JFK",2023,1,4,5,49,48,96.69,190,5.7539,6.621473042,0,1009.1,7,2023-01-04 05:00:00
"79","JFK",2023,1,4,6,48,48,100,220,5.7539,6.621473042,0,1009.2,7,2023-01-04 06:00:00
"80","JFK",2023,1,4,7,47,47,100,190,8.05546,9.2700622588,0,1009.5,6,2023-01-04 07:00:00
"81","JFK",2023,1,4,8,45,45,100,0,0,0,0,1009.1,6,2023-01-04 08:00:00
"82","JFK",2023,1,4,9,45,45,100,200,4.60312,5.2971784336,0,1009.3,6,2023-01-04 09:00:00
"83","JFK",2023,1,4,10,48,47,95.95,230,5.7539,6.621473042,0,1010,6,2023-01-04 10:00:00
"84","JFK",2023,1,4,11,51,50,96,240,8.05546,9.2700622588,0,1011,9,2023-01-04 11:00:00
"85","JFK",2023,1,4,12,54,52,92.92,240,5.7539,6.621473042,0,1011.7,9,2023-01-04 12:00:00
"86","JFK",2023,1,4,13,56,54,93.32,260,8.05546,9.2700622588,0,1012.7,8,2023-01-04 13:00:00
"87","JFK",2023,1,4,14,55,54,96.42,230,9.20624,10.5943568672,0,1012.6,7,2023-01-04 14:00:00
"88","JFK",2023,1,4,15,58,55,90.04,200,4.60312,5.2971784336,0,1012.7,6,2023-01-04 15:00:00
"89","JFK",2023,1,4,16,57,54,89.68,200,5.7539,6.621473042,0,1012.4,7,2023-01-04 16:00:00
"90","JFK",2023,1,4,17,61,55,80.61,200,9.20624,10.5943568672,0,1011.4,9,2023-01-04 17:00:00
"91","JFK",2023,1,4,18,58,54,86.82,190,5.7539,6.621473042,0,1011.2,10,2023-01-04 18:00:00
"92","JFK",2023,1,4,19,57,53,86.77,170,5.7539,6.621473042,0,1010.7,10,2023-01-04 19:00:00
"93","JFK",2023,1,4,20,54,51,89.88,140,5.7539,6.621473042,0,1010.6,10,2023-01-04 20:00:00
"94","JFK",2023,1,4,21,52,50,92.86,50,2.30156,2.6485892168,1e-04,1011,10,2023-01-04 21:00:00
"95","JFK",2023,1,4,22,51,50,96,160,5.7539,6.621473042,1e-04,1009.9,10,2023-01-04 22:00:00
"96","JFK",2023,1,4,23,51,51,100,70,5.7539,6.621473042,0.01,1010.5,7,2023-01-04 23:00:00
"97","JFK",2023,1,5,0,51,51,100,150,4.60312,5.2971784336,0,1010,6,2023-01-05
"98","JFK",2023,1,5,1,51,51,100,120,4.60312,5.2971784336,0,1009.7,5,2023-01-05 01:00:00
"99","JFK",2023,1,5,2,51,51,100,100,4.60312,5.2971784336,0,1009.9,4,2023-01-05 02:00:00
"100","JFK",2023,1,5,3,51.8,51.8,100,30,5.7539,6.621473042,0,1009.2,0.75,2023-01-05 03:00:00
"101","JFK",2023,1,5,4,52,52,100,100,5.7539,6.621473042,0,1009.8,1.5,2023-01-05 04:00:00
"102","JFK",2023,1,5,5,51,51,100,60,2.30156,2.6485892168,0.01,1009.9,0.24,2023-01-05 05:00:00
"103","JFK",2023,1,5,6,50,50,100,0,0,0,0.01,1010.4,1.5,2023-01-05 06:00:00
"104","JFK",2023,1,5,7,48,48,100,350,5.7539,6.621473042,1e-04,1011.4,2.5,2023-01-05 07:00:00
"105","JFK",2023,1,5,8,47,47,100,340,5.7539,6.621473042,1e-04,1012.1,3,2023-01-05 08:00:00
"106","JFK",2023,1,5,9,48,48,100,360,10.35702,11.9186514756,0,1012.2,8,2023-01-05 09:00:00
"107","JFK",2023,1,5,10,48.2,48.2,100,0,0,0,0,1013,10,2023-01-05 10:00:00
"108","JFK",2023,1,5,11,48,48,100,10,5.7539,6.621473042,0,1013.6,2,2023-01-05 11:00:00
"109","JFK",2023,1,5,12,48,48,100,60,8.05546,9.2700622588,0,1014.1,0.75,2023-01-05 12:00:00
"110","JFK",2023,1,5,13,48,48,100,50,5.7539,6.621473042,0,1014.7,0.5,2023-01-05 13:00:00
"111","JFK",2023,1,5,14,48,48,100,50,5.7539,6.621473042,0,1015.8,3,2023-01-05 14:00:00
"112","JFK",2023,1,5,15,48,47,95.95,30,9.20624,10.5943568672,0,1016,10,2023-01-05 15:00:00
"113","JFK",2023,1,5,16,49,47,92.77,30,5.7539,6.621473042,0,1015.4,10,2023-01-05 16:00:00
"114","JFK",2023,1,5,17,50,47,89.04,60,8.05546,9.2700622588,0,1014.9,10,2023-01-05 17:00:00
"115","JFK",2023,1,5,18,50,47,89.04,30,4.60312,5.2971784336,0,1014.3,10,2023-01-05 18:00:00
"116","JFK",2023,1,5,19,50,47,89.04,60,5.7539,6.621473042,0,1013.9,10,2023-01-05 19:00:00
"117","JFK",2023,1,5,20,49,47,92.77,80,5.7539,6.621473042,0,1013.7,10,2023-01-05 20:00:00
"118","JFK",2023,1,5,21,48,46,92.74,60,5.7539,6.621473042,0,1014.2,10,2023-01-05 21:00:00
"119","JFK",2023,1,5,22,46.4,46.4,100,60,4.60312,5.2971784336,0,1014.4,10,2023-01-05 22:00:00
"120","JFK",2023,1,5,23,47,47,100,90,4.60312,5.2971784336,0,1014.9,5,2023-01-05 23:00:00
"121","JFK",2023,1,6,0,46,46,100,90,5.7539,6.621473042,1e-04,1014.8,5,2023-01-06
"122","JFK",2023,1,6,1,46,46,100,100,5.7539,6.621473042,1e-04,1014.8,6,2023-01-06 01:00:00
"123","JFK",2023,1,6,2,46,46,100,110,5.7539,6.621473042,1e-04,1015.2,8,2023-01-06 02:00:00
"124","JFK",2023,1,6,3,45,45,100,60,5.7539,6.621473042,0.01,1015.2,5,2023-01-06 03:00:00
"125","JFK",2023,1,6,4,45,44,96.63,70,9.20624,10.5943568672,1e-04,1015,6,2023-01-06 04:00:00
"126","JFK",2023,1,6,5,44,43,95.88,70,8.05546,9.2700622588,0,1014.6,7,2023-01-06 05:00:00
"127","JFK",2023,1,6,6,44,43,95.88,100,9.20624,10.5943568672,1e-04,1014.9,8,2023-01-06 06:00:00
"128","JFK",2023,1,6,7,43,43,100,120,4.60312,5.2971784336,0.01,1015.4,8,2023-01-06 07:00:00
"129","JFK",2023,1,6,8,43,43,100,50,4.60312,5.2971784336,0.02,1015.1,6,2023-01-06 08:00:00
"130","JFK",2023,1,6,9,43,43,100,60,4.60312,5.2971784336,0.01,1015.2,6,2023-01-06 09:00:00
"131","JFK",2023,1,6,10,42,42,100,0,0,0,0,1014.8,8,2023-01-06 10:00:00
"132","JFK",2023,1,6,11,42,42,100,80,8.05546,9.2700622588,0,1014.7,10,2023-01-06 11:00:00
"133","JFK",2023,1,6,12,42,42,100,120,9.20624,10.5943568672,0,1015.4,10,2023-01-06 12:00:00
"134","JFK",2023,1,6,13,43,42,96.6,80,4.60312,5.2971784336,0.01,1015,7,2023-01-06 13:00:00
"135","JFK",2023,1,6,14,43,42,96.6,80,5.7539,6.621473042,1e-04,1015.9,10,2023-01-06 14:00:00
"136","JFK",2023,1,6,15,44,42,92.62,30,4.60312,5.2971784336,1e-04,1015.6,10,2023-01-06 15:00:00
"137","JFK",2023,1,6,16,45,43,92.65,0,0,0,1e-04,1014.9,10,2023-01-06 16:00:00
"138","JFK",2023,1,6,17,44,43,96.24,320,2.30156,2.6485892168,1e-04,1014.5,8,2023-01-06 17:00:00
"139","JFK",2023,1,6,18,NA,NA,NA,0,0,0,0.01,NA,5,2023-01-06 18:00:00
"140","JFK",2023,1,6,19,45,44,96.63,190,5.7539,6.621473042,0,1014.8,9,2023-01-06 19:00:00
"141","JFK",2023,1,6,20,46,42,86.16,240,10.35702,11.9186514756,1e-04,1015.3,7,2023-01-06 20:00:00
"142","JFK",2023,1,6,21,45,39,79.36,250,8.05546,9.2700622588,0,1015.8,10,2023-01-06 21:00:00
"143","JFK",2023,1,6,22,45,38,76.01,260,14.96014,17.2158299092,0,1016.9,10,2023-01-06 22:00:00
"144","JFK",2023,1,6,23,46,36,67.9,260,12.65858,14.5672406924,0,1017.5,10,2023-01-06 23:00:00
"145","JFK",2023,1,7,0,44,33,65.02,300,14.96014,17.2158299092,0,1018.4,10,2023-01-07
"146","JFK",2023,1,7,1,42,32,67.17,290,11.5078,13.242946084,0,1019,10,2023-01-07 01:00:00
"147","JFK",2023,1,7,2,42,32,67.17,310,14.96014,17.2158299092,0,1019.5,10,2023-01-07 02:00:00
"148","JFK",2023,1,7,3,41,30.9,67.03,290,12.65858,14.5672406924,0,1020,10,2023-01-07 03:00:00
"149","JFK",2023,1,7,4,40,30.9,69.96,300,16.11092,18.5401245176,0,1019.9,10,2023-01-07 04:00:00
"150","JFK",2023,1,7,5,39,30,69.85,300,12.65858,14.5672406924,0,1019.7,10,2023-01-07 05:00:00
"151","JFK",2023,1,7,6,38,28.9,69.73,280,10.35702,11.9186514756,0,1019.9,10,2023-01-07 06:00:00
"152","JFK",2023,1,7,7,36,28.9,75.15,280,9.20624,10.5943568672,0,1020,10,2023-01-07 07:00:00
"153","JFK",2023,1,7,8,37,30.9,78.37,270,10.35702,11.9186514756,0,1020,10,2023-01-07 08:00:00
"154","JFK",2023,1,7,9,37,30.9,78.37,280,9.20624,10.5943568672,0,1019.9,10,2023-01-07 09:00:00
"155","JFK",2023,1,7,10,36,30.9,81.53,270,10.35702,11.9186514756,0,1020.3,10,2023-01-07 10:00:00
"156","JFK",2023,1,7,11,37,30,75.56,270,8.05546,9.2700622588,0,1020.5,10,2023-01-07 11:00:00
"157","JFK",2023,1,7,12,38,30.9,75.64,270,11.5078,13.242946084,0,1020.8,10,2023-01-07 12:00:00
"158","JFK",2023,1,7,13,40,30.9,69.96,280,8.05546,9.2700622588,0,1021.3,10,2023-01-07 13:00:00
"159","JFK",2023,1,7,14,42,30.9,64.24,280,9.20624,10.5943568672,0,1021.7,10,2023-01-07 14:00:00
"160","JFK",2023,1,7,15,42,28.9,59.22,290,12.65858,14.5672406924,0,1021.2,10,2023-01-07 15:00:00
"161","JFK",2023,1,7,16,44,28.9,54.85,300,11.5078,13.242946084,0,1020.2,10,2023-01-07 16:00:00
"162","JFK",2023,1,7,17,45,28,51.08,300,10.35702,11.9186514756,0,1019.8,10,2023-01-07 17:00:00
"163","JFK",2023,1,7,18,45,28,51.08,300,11.5078,13.242946084,0,1019.7,10,2023-01-07 18:00:00
"164","JFK",2023,1,7,19,44,28.9,54.85,290,12.65858,14.5672406924,0,1020.1,10,2023-01-07 19:00:00
"165","JFK",2023,1,7,20,43,28.9,57.21,300,12.65858,14.5672406924,0,1020.5,10,2023-01-07 20:00:00
"166","JFK",2023,1,7,21,43,28.9,57.21,310,11.5078,13.242946084,0,1020.9,10,2023-01-07 21:00:00
"167","JFK",2023,1,7,22,42,28,57.08,310,10.35702,11.9186514756,0,1021.6,10,2023-01-07 22:00:00
"168","JFK",2023,1,7,23,42,28,57.08,280,11.5078,13.242946084,0,1022.4,10,2023-01-07 23:00:00
"169","JFK",2023,1,8,0,41,28.9,61.79,300,14.96014,17.2158299092,0,1023.2,10,2023-01-08
"170","JFK",2023,1,8,1,41,28.9,61.79,290,10.35702,11.9186514756,0,1023.5,10,2023-01-08 01:00:00
"171","JFK",2023,1,8,2,40,27,59.65,300,14.96014,17.2158299092,0,1023.5,10,2023-01-08 02:00:00
"172","JFK",2023,1,8,3,39,26.1,59.52,310,12.65858,14.5672406924,0,1023.9,10,2023-01-08 03:00:00
"173","JFK",2023,1,8,4,38,26.1,62.14,300,12.65858,14.5672406924,0,1024,10,2023-01-08 04:00:00
"174","JFK",2023,1,8,5,37,25,61.5,310,12.65858,14.5672406924,0,1024.3,10,2023-01-08 05:00:00
"175","JFK",2023,1,8,6,37,25,61.5,310,11.5078,13.242946084,0,1024.8,10,2023-01-08 06:00:00
"176","JFK",2023,1,8,7,36,25,63.98,320,12.65858,14.5672406924,0,1025.4,10,2023-01-08 07:00:00
"177","JFK",2023,1,8,8,35,24.1,63.86,320,12.65858,14.5672406924,0,1025.4,10,2023-01-08 08:00:00
"178","JFK",2023,1,8,9,34,23,63.72,330,12.65858,14.5672406924,0,1026,10,2023-01-08 09:00:00
"179","JFK",2023,1,8,10,34,21.9,60.83,300,11.5078,13.242946084,0,1026.7,10,2023-01-08 10:00:00
"180","JFK",2023,1,8,11,33,21.9,63.06,320,10.35702,11.9186514756,0,1027,10,2023-01-08 11:00:00
"181","JFK",2023,1,8,12,32,24.1,72.3,350,10.35702,11.9186514756,0,1027,10,2023-01-08 12:00:00
"182","JFK",2023,1,8,13,35,21.9,58.22,340,8.05546,9.2700622588,0,1027.5,10,2023-01-08 13:00:00
"183","JFK",2023,1,8,14,36,23,58.85,360,9.20624,10.5943568672,0,1027.9,10,2023-01-08 14:00:00
"184","JFK",2023,1,8,15,38,21,50.18,10,8.05546,9.2700622588,0,1027.5,10,2023-01-08 15:00:00
"185","JFK",2023,1,8,16,39,21,48.06,10,5.7539,6.621473042,0,1026.5,10,2023-01-08 16:00:00
"186","JFK",2023,1,8,17,41,19,40.83,320,4.60312,5.2971784336,0,1025.8,10,2023-01-08 17:00:00
"187","JFK",2023,1,8,18,40,18,40.82,310,2.30156,2.6485892168,0,1025,10,2023-01-08 18:00:00
"188","JFK",2023,1,8,19,38,26.1,62.14,210,5.7539,6.621473042,0,1025.2,10,2023-01-08 19:00:00
"189","JFK",2023,1,8,20,38,24.1,57.18,220,8.05546,9.2700622588,0,1024.5,10,2023-01-08 20:00:00
"190","JFK",2023,1,8,21,35,26.1,69.41,200,5.7539,6.621473042,0,1024.3,10,2023-01-08 21:00:00
"191","JFK",2023,1,8,22,36,28,72.43,190,10.35702,11.9186514756,0,1023.8,10,2023-01-08 22:00:00
"192","JFK",2023,1,8,23,36,28.9,75.15,200,8.05546,9.2700622588,0,1023.2,10,2023-01-08 23:00:00
"193","JFK",2023,1,9,0,35,28.9,77.88,190,9.20624,10.5943568672,0,1022.6,10,2023-01-09
"194","JFK",2023,1,9,1,38,30.9,75.64,200,9.20624,10.5943568672,0,1022.6,10,2023-01-09 01:00:00
"195","JFK",2023,1,9,2,38,30.9,75.64,210,11.5078,13.242946084,0,1021.6,10,2023-01-09 02:00:00
"196","JFK",2023,1,9,3,37,30.9,78.37,200,12.65858,14.5672406924,0,1020.8,10,2023-01-09 03:00:00
"197","JFK",2023,1,9,4,39,32,75.75,220,8.05546,9.2700622588,0,1020.3,10,2023-01-09 04:00:00
"198","JFK",2023,1,9,5,38,34,85.69,220,12.65858,14.5672406924,1e-04,1019,10,2023-01-09 05:00:00
"199","JFK",2023,1,9,6,39,36,88.87,220,5.7539,6.621473042,1e-04,1018.1,10,2023-01-09 06:00:00
"200","JFK",2023,1,9,7,39,36,88.87,260,8.05546,9.2700622588,1e-04,1017.5,10,2023-01-09 07:00:00
"201","JFK",2023,1,9,8,38,36,92.78,220,8.05546,9.2700622588,0.01,1016,10,2023-01-09 08:00:00
"202","JFK",2023,1,9,9,37,37,100,210,4.60312,5.2971784336,0.01,1015.2,9,2023-01-09 09:00:00
"203","JFK",2023,1,9,10,38,37,96.52,270,4.60312,5.2971784336,1e-04,1015.2,10,2023-01-09 10:00:00
"204","JFK",2023,1,9,11,38,36,92.78,260,4.60312,5.2971784336,0,1014.7,10,2023-01-09 11:00:00
"205","JFK",2023,1,9,12,38,36,92.42,350,4.60312,5.2971784336,0,1014.6,10,2023-01-09 12:00:00
"206","JFK",2023,1,9,13,39,34,82.08,280,4.60312,5.2971784336,0,1014.9,8,2023-01-09 13:00:00
"207","JFK",2023,1,9,14,40,32,73.14,300,8.05546,9.2700622588,0,1014.8,10,2023-01-09 14:00:00
"208","JFK",2023,1,9,15,43,30,59.83,320,9.20624,10.5943568672,0,1014.4,10,2023-01-09 15:00:00
"209","JFK",2023,1,9,16,43,30,59.83,330,12.65858,14.5672406924,0,1013.3,10,2023-01-09 16:00:00
"210","JFK",2023,1,9,17,44,28,52.86,300,11.5078,13.242946084,0,1012.4,10,2023-01-09 17:00:00
"211","JFK",2023,1,9,18,45,26.1,47.23,320,12.65858,14.5672406924,0,1011.9,10,2023-01-09 18:00:00
"212","JFK",2023,1,9,19,45,25,45.12,290,12.65858,14.5672406924,0,1011.8,10,2023-01-09 19:00:00
"213","JFK",2023,1,9,20,44,24.1,44.98,310,16.11092,18.5401245176,0,1012.2,10,2023-01-09 20:00:00
"214","JFK",2023,1,9,21,41,21.9,46.19,310,9.20624,10.5943568672,0,1012.4,10,2023-01-09 21:00:00
"215","JFK",2023,1,9,22,41,21.9,46.19,300,12.65858,14.5672406924,0,1013.1,10,2023-01-09 22:00:00
"216","JFK",2023,1,9,23,40,21.9,48.21,310,9.20624,10.5943568672,0,1013.8,10,2023-01-09 23:00:00
"217","JFK",2023,1,10,0,40,23,50.5,310,12.65858,14.5672406924,0,1013.7,10,2023-01-10
"218","JFK",2023,1,10,1,39,23,52.3,290,9.20624,10.5943568672,0,1013.7,10,2023-01-10 01:00:00
"219","JFK",2023,1,10,2,39,25,56.86,270,8.05546,9.2700622588,0,1013.9,10,2023-01-10 02:00:00
"220","JFK",2023,1,10,3,39,25,56.86,260,10.35702,11.9186514756,0,1014.1,10,2023-01-10 03:00:00
"221","JFK",2023,1,10,4,38,26.1,62.14,270,12.65858,14.5672406924,0,1014.1,10,2023-01-10 04:00:00
"222","JFK",2023,1,10,5,37,24.1,59.24,270,11.5078,13.242946084,0,1014.2,10,2023-01-10 05:00:00
"223","JFK",2023,1,10,6,36,24.1,61.62,270,9.20624,10.5943568672,0,1014.9,10,2023-01-10 06:00:00
"224","JFK",2023,1,10,7,38,24.1,57.18,300,9.20624,10.5943568672,0,1015.7,10,2023-01-10 07:00:00
"225","JFK",2023,1,10,8,35,27,72.04,260,8.05546,9.2700622588,0,1015.4,10,2023-01-10 08:00:00
"226","JFK",2023,1,10,9,36,28,72.43,260,9.20624,10.5943568672,0,1015.7,10,2023-01-10 09:00:00
"227","JFK",2023,1,10,10,37,27,66.82,250,9.20624,10.5943568672,0,1016.5,10,2023-01-10 10:00:00
"228","JFK",2023,1,10,11,39,26.1,59.52,270,11.5078,13.242946084,0,1016.7,10,2023-01-10 11:00:00
"229","JFK",2023,1,10,12,38,28,67.2,330,11.5078,13.242946084,0,1017.4,10,2023-01-10 12:00:00
"230","JFK",2023,1,10,13,38,28.9,69.73,240,10.35702,11.9186514756,0,1017.8,10,2023-01-10 13:00:00
"231","JFK",2023,1,10,14,39,28.9,66.79,230,9.20624,10.5943568672,0,1018.1,10,2023-01-10 14:00:00
"232","JFK",2023,1,10,15,40,30,67.45,240,11.5078,13.242946084,0,1017.9,10,2023-01-10 15:00:00
"233","JFK",2023,1,10,16,40,30,67.45,270,10.35702,11.9186514756,0,1017.1,10,2023-01-10 16:00:00
