establishment_id,establishment_number,establishment_name,duns_number,street,city,state,zip,phone,grant_date,activities,dbas,district,circuit,size,latitude,longitude,county,fips_code
124269,G1349,Papetti's Hygrade Egg Products Inc.,007266158,847 North Avenue ,Elizabeth,NJ,07201,(908) 282-7900,2020-02-28,Egg Product,Michael Foods; Michael Foods Egg Products Company,80,8020,Small,40.676196986193,-74.19371003946,Union County,34039
126718,G1415,Nulaid Foods Inc.,,200 W. 5th Street ,Ripon,CA,95366,(209) 599-2200,2022-02-28,Egg Product,,05,0509,Small,37.732368990654,-121.125177993032,San Joaquin County,06077
126622,G1450A,Wilcox Farms Inc.,,40400 Harts Lake Valley Road ,Roy,WA,98580,(360) 458-6966,2019-12-05,Egg Product,,15,1527,Small,46.88712198608,-122.475881037524,Pierce County,53053
126739,G1455+V1455,M.G. Waldbaum Company,,120 Tower Street ,Gaylord,MN,55334,(507) 237-4600,2021-10-16,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,Michael Foods Egg Products Company,25,2507,Large,44.556784007958,-94.19723302787,Sibley County,27143
8208,G1486,Pulaski County Breaker Plant,,8596 W. 700 South ,Francesville,IN,47946,(219) 335-2087,2017-09-26,Egg Product,,50,5033,Small,40.963167995663,-86.766453993864,Pulaski County,18131
126735,G1547,"ISE Newberry, Inc.",,2063 Alexander Street ,Newberry,SC,29108,(803) 276-5803,2021-09-22,Egg Product,,85,8521,Small,34.281866012272,-81.634412995369,Newberry County,45071
8558,G1579,"Wabash Valley Produce, Inc",,4878 E. 450 North ,Dubois,IN,47527,(812) 678-3471,2021-10-18,Egg Product,,50,5007,Small,38.450109985778,-86.792657136025,Dubois County,18037
6168132,G1579A,"Wabash Valley Foods, LLC.",016259947,4897 East 450 North ,Dubois,IN,47527,(812) 678-0222,2025-11-12,Egg Product,,50,5007,N / A,38.442226728166,-86.739285330706,Dubois County,18037
8206,G1602+V1602,Crystal Lake LP,,6500 W. Crystal Lake Rd. ,Warsaw,IN,46580,(574) 858-2514,2021-08-24,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,50,5033,Small,41.233302988686,-85.967104996539,Kosciusko County,18085
126621,G1606,Willamette Egg Farms,,31348 S. Highway 170 ,Canby,OR,97013,(503) 651-0000,2019-12-20,Egg Product,Willamette Egg Farms,15,1504,Small,45.153216014222,-122.680686974284,Clackamas County,41005
124271,G1610,"Papetti's Hygrade Egg Products, Inc.",007266158,847 North Avenue  ,Elizabeth,NJ,07206,(908) 282-7900,2019-12-06,Egg Product,"Michael Foods Egg Products Company; Michael Foods, Inc.",80,8020,Small,40.676207002567,-74.192887020387,Union County,34039
126729,G1612+V1612,Marshall Egg Products Company,,123 N. Miami Avenue ,Marshall,MO,65340,(660) 631-7849,2020-08-04,Certification - Export; Egg Product,,35,3508,Small,39.122185012848,-93.210066032228,Saline County,29195
8302,G1616,"Papetti's Hygrade Egg Products, Inc.",007266158,68 Spain Road ,Klingerstown,PA,17941,(570) 425-2910,2025-04-16,Egg Product,"Michael Foods Egg Products Company; Michael Foods, Inc.",60,6040,Small,40.660362984361,-76.696814967644,Schuylkill County,42107
126620,G1620+V1620,"Deb El Food Products, LLC",,64 Kutger Road ,Thompsonville,NY,12784,(908) 351-0330,2021-09-21,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,60,6027,Large,41.671115021068,-74.609827191853,Sullivan County,36105
126619,G1634,"Taylor Egg Products, Inc.",,242 Littleworth Road ,Dover,NH,03820,(603) 742-1050,2021-10-25,Egg Product,,60,6025,Small,43.193354096673,-70.934695401827,Strafford County,33017
126667,G1673,"Perham Egg, LLC",,515 4th Street NE ,Perham,MN,56573,(218) 346-2500,2021-12-07,Egg Product,,25,2503,Small,46.593993001894,-95.563794968447,Otter Tail County,27111
8401,G1704B,Herbruck's Poultry Ranch,,478 Portland Road ,Lake Odessa,MI,48849,,2015-04-15,Egg Product,,50,5034,Small,42.871646847859,-85.084427346792,Ionia County,26067
126668,G1798,"Daybreak Foods, Inc.",,609 Sixth St. NE ,Long Prairie,MN,56347,(320) 732-2966,2022-04-26,Egg Product,,25,2503,Small,45.981456006868,-94.856542970453,Todd County,27153
126725,G20729,"Daybreak Foods, Inc.",,4768 280th Street ,Graettinger,IA,51342,(712) 209-2530,2021-11-12,Egg Product,,25,2515,Small,43.239613018576,-94.646916014444,Palo Alto County,19147
126695,G20813+V20813,Sunrise Farms Inc.,,2060 White Ave. ,Harris,IA,51345,(712) 735-6010,2021-08-31,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,25,2525,Small,43.35196400683,-95.443455984557,Osceola County,19143
126697,G20865+V20865,M.G. Waldbaum Company,,120 Tower Street ,Gaylord,MN,55334,(507) 237-4600,2021-10-16,Certification - Export; Egg Product,Michael Foods Egg Products Company,25,2507,Very Small,44.556784007958,-94.19723302787,Sibley County,27143
126696,G21040,"Iowa Cage Free, LLLP",,13780 450th Street ,Thompson,IA,50478,(641) 584-2050,2021-09-15,Egg Product,,25,2515,Small,43.420025982624,-93.71999696536,Winnebago County,19189
126700,G21395,Fremont Farms of Iowa L.L.P.,,3868 110th Street ,Malcom,IA,50157,(641) 528-3447,2015-12-01,Egg Product,,25,2509,Large,41.735209003899,-92.576192986488,Poweshiek County,19157
126701,G21597,"Daybreak Foods, Inc.",,1959 Hwy 4 South ,Estherville,IA,51334,(712) 362-7224,2021-11-12,Egg Product,,25,2515,Small,43.363457984926,-94.811019010288,Emmet County,19063
126689,G21683,"Deb El Food Products, LLC",,900 North Linn Avenue ,New Hampton,IA,50659,(641) 426-3447,2021-07-19,Egg Product,,25,2529,Small,43.068136001503,-92.316566972209,Chickasaw County,19037
126703,G21931,"Rembrandt Enterprises, LLC",119893001,1419 480th St. ,Rembrandt,IA,50576,(712) 286-6000,2021-09-13,Egg Product,Rembrandt Foods,25,2525,Large,42.823637981351,-95.129682037574,Buena Vista County,19021
126730,G21932+V21936,Sonstegard of Arkansas,,915 N. Jefferson St. ,Springdale,AR,72764,(479) 872-0700,2021-12-07,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,35,3512,Small,36.193831058309,-94.12243753398,Washington County,05143
6167922,G2571,"Bakehouse Enterprises, LLC, DBA Boxford Bakehouse",015382449,40 Grissom Road Building 2 Unit D,Plymouth,MA,02360,(508) 923-8424,2025-01-16,Egg Product,Boxford Bakehouse,60,6029,Very Small,41.957212007585,-70.690022209049,Plymouth County,25023
6168031,G2665+V2665,Profile Food Ingredients,,1151 Timber Drive ,Elgin,IL,60123,(847) 622-1700,2024-06-28,Certification - Export; Egg Product,Holton Foods.,50,5004,Small,42.057271018651,-88.307190960416,Kane County,17089
126704,G31538,Center Fresh Egg Farm L.L.P.,,4135 Garfield Ave. ,Sioux Center,IA,51250,(712) 722-4265,2021-09-21,Egg Product,,25,2523,Small,43.051028998127,-96.236630033812,Sioux County,19167
126720,G31540+V31540,"Hickman's Egg Ranch, Inc.",035864263,32425 West Salome Hwy ,Arlington,AZ,85322,(623) 872-2378,2022-02-25,Certification - Export; Egg Product,Hickmans Family Farms,05,0504,Small,33.364987309726,-112.748945342726,Maricopa County,04013
12402,G31542+V31542,Texas Egg Products LLC,,1808 East Hwy 90 ,Waelder,TX,78959,(830) 788-7792,2021-10-27,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,40,4030,Small,29.690947020282,-97.279553030282,Gonzales County,48177
12678,G31546+V31546,"New Day Farms, LLC",,27322 State Route 739 ,Raymond,OH,43067,(937) 358-2114,2022-04-11,Egg Product; Voluntary Egg Products Inspection/Processing,,50,5011,Small,40.393682005999,-83.452873008071,Union County,39159
12798,G31547,"New Day Farms, LLC - Farm 3",,27400 Coder-Holloway Rd. ,West Mansfield,OH,43358,,2022-04-11,Egg Product,,50,5011,Small,40.389858014132,-83.486559038743,Union County,39159
126705,G31548,Michael Foods Inc.,,1260 Highway 18E ,Britt,IA,50423,(641) 843-3100,2021-04-06,Egg Product,"Michael Foods, Inc.",25,2515,Small,43.103100984871,-93.7414709822,Hancock County,19081
126707,G31556,Hawkeye Pride Egg Farm LLP,,1275 Deer Ave. ,Corwith,IA,50430,(515) 583-2600,2021-04-06,Egg Product,,25,2515,Small,42.947955016488,-93.914022014436,Hancock County,19081
126643,G339+V339,Oskaloosa Food Products Corp.,,543 Ninth Avenue East ,Oskaloosa,IA,52577,(641) 673-3486,2016-05-11,Egg Product,,25,2509,Large,41.287029943561,-92.639034443846,Mahaska County,19123
6163053,G34777,"Forsman Farms, Inc.",,1200 Commerce Blvd ,Howard Lake,MN,55329,(320) 286-5905,2022-02-18,Egg Product,,25,2507,Small,45.059176005916,-94.086500040296,Wright County,27171
126690,G3860,"Central Storage & Warehouse Co., Inc.",,2650 Fortune Drive ,Eau Claire,WI,54703,(715) 874-2951,2014-12-11,Egg Product,,25,2522,,44.852760995204,-91.545835971621,Eau Claire County,55035
124264,G420+V420,M.G. Waldbaum Company,007266158,105 N. Maint Street ,Wakefield,NE,68784,(402) 287-2211,2019-12-04,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,"M.G. Waldbaum; Michael Foods, Inc.",15,1528,Small,42.271923,-96.863073,Dixon County,31051
124265,G420D+V420D,M.G. Waldbaum Company,007266158,101A North Oak Street ,Wakefield,NE,68784,(402) 287-2211,2019-12-04,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,15,1528,Small,42.269890984646,-96.860818041889,Dixon County,31051
126716,G420G+V420G,Husker Pride Farms MG Waldbaum Co.,,58365 861 Road ,Wakefield,NE,68784,(402) 287-5000,2017-01-12,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,Michael Foods Egg Product Co.,15,1528,Very Small,42.308060832847,-96.88096409362,Dixon County,31051
126659,G420L+V420L,Big Red Farms,,58535 HWY 35 ,WAKEFIELD,NE,68784,(402) 287-2211,2017-01-12,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,"MG Waldbaum Co.; Michael Foods, Inc",15,1528,Small,42.29326639094,-96.819268610142,Dixon County,31051
126624,G420M+V420M,Bloom-N-Egg Farm,01-807-6351,54080 Highway 84 West  P.O. Box 180,Bloomfield,NE,68718,(402) 373-6300,2019-10-15,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,Michael Foods Egg Products Company,15,1528,N / A,42.597327136204,-97.704513291491,Knox County,31107
126629,G45381+V45381,Cooper Farms Liquid Egg Products,079682730,2360 Wabash Rd ,Ft. Recovery,OH,45846,(419) 375-5800,2021-10-27,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,50,5032,Small,40.418808981971,-84.775664985541,Mercer County,39107
6162063,G45702+V45702,Chino Valley Ranchers,,331 W. Citrus Street ,Colton,CA,92324,(909) 264-2200,2021-10-27,Certification - Export; Egg Product,Chino Valley Ranchers,05,0510,Small,34.085782996419,-117.324723013362,San Bernardino County,06071
6164114,G46444,Infinite Commerce (Judee's),,"8205 Estates Parkway, Unit N,O,P ",Plain City,OH,43064,(614) 504-6279,2024-12-26,Egg Product,,50,5027,Very Small,40.128659009993,-83.200100037828,Union County,39159
6164223,G46493,"New Day Farms, LLC",,9300 Croton Road ,Croton,OH,43031,(740) 893-2020,2021-10-27,Egg Product,,50,5027,Small,40.18654900146,-82.693502000856,Licking County,39089
6164302,G46528+V46528,Pine Valley Ranch LLC,,21638 St. Rt 116 ,Spencerville,OH,45887,(419) 305-6865,2021-08-16,Certification - Export; Egg Product; Voluntary Egg Products Inspection/Processing,,50,5032,Small,40.665636201506,-84.42054166011,Auglaize County,39011
6164510,G46611,"Daybreak Foods, Inc.",927893602,N5344 Crossman Road ,Lake Mills,WI,53551,(920) 648-3951,2021-12-08,Egg Product,,25,2530,Small,43.039336997568,-88.942566965214,Jefferson County,55055
6164537,G46630,"Modernist Pantry, LLC",,25 Harold L Dow Highway ,Eliot,ME,03903,(207) 200-3817,2021-07-28,Egg Product,,60,6025,Small,43.122048318909,-70.762588451972,York County,23031
6165071,G47106,AbE Manufacturing,,700 Commercial Avenue ,Waterloo,WI,53594,(608) 852-4872,2025-04-15,Egg Product,,25,2530,Very Small,43.192337995019,-88.977257986077,Jefferson County,55055
6165556,G47419,"Cinnamonster Franchise Group, Inc.",,860 Highway 105 ,Palmer Lake,CO,80133,(303) 770-5075,2020-11-18,Egg Product,Cinnamonster,15,1511,Very Small,39.098634002311,-104.877623033187,El Paso County,08041
6166260,G47819,"Daybreak Foods, Inc.",,2550 HWY 17 ,Eagle Grove,IA,50533,(920) 988-0176,2022-02-16,Egg Product,,25,2515,Small,42.684237273677,-93.905859281365,Wright County,19197
6162072,G48139,Egg 24-7,,6752 Eton Avenue ,Canoga Park,CA,91303,(818) 346-3447,2021-10-28,Egg Product,,05,0515,Very Small,34.193148554781,-118.595400724899,Los Angeles County,06037
124261,G496,"Estherville Foods, Inc.",,105 N. 4th St. ,Estherville,IA,51334,,2021-08-31,Egg Product,,25,2515,Small,43.403427006399,-94.839724011179,Emmet County,19063
14095,G614,Trillium Farms,,Trillium Farms c/o Marseilles Layer Plant 20613 Township Highway 103,Harpster,OH,43323,(740) 499-3871,2021-11-17,Egg Product,,50,5011,Very Small,40.690910998122,-83.359830027148,Wyandot County,39175
126644,G778,"Daybreak Foods, Inc.",,3159 Buchanan Ave. ,Eagle Grove,IA,50533,(515) 603-3050,2021-11-12,Egg Product,,25,2515,Small,42.59547700295,-93.947656999318,Wright County,19197
126713,G779,Sonstegard Foods of Georgia,,2079 Memorial Park Road ,Gainesville,GA,30504,,2021-09-22,Egg Product,,85,8513,Small,34.26838502021,-83.856933966212,Hall County,13139
8516,G783,"Wabash Valley Produce, Inc",016259947,40 N. second St. ,Zanesville,OH,43702,,2021-10-14,Egg Product,"B.E. Products, Inc; Ballas Egg Products Corp",50,5027,Small,39.941108017201,-82.00986500923,Muskingum County,39119
126645,G900,Centrum Valley Farms L.L.P.,,2865 310th St. ,Dows,IA,50071,(515) 852-3217,2021-12-28,Egg Product,,25,2515,Small,42.603360979167,-93.606478000808,Wright County,19197
14144,G926,Trillium Farms - Layer # 5,,20449 Co Rd. 245 ,Mount Victory,OH,43340,(937) 354-2233,2021-11-17,Egg Product,,50,5011,Large,40.529103009277,-83.440642973148,Hardin County,39065
126131,I1,"Lineage Logistics PFS, LLC",,275 BLAIR ROAD ,AVENEL,NJ,07001,(908) 282-6500,2020-01-17,Imported Product,,80,8020,N / A,40.579072018424,-74.256864997678,Middlesex County,34023
123561,I10,Atlantic Coast Freezers LLC,,2192 NW Blvd ,Vineland,NJ,08360,(856) 696-1770,2018-01-11,Imported Product,,80,8013,N / A,39.51805324,-75.02519722,Cumberland County,34011
6165207,I101,"Lineage Logistics, LLC",,2001 W. Garfield Street # C100 Pier 90 Building 391,Seattle,WA,98119,(206) 285-6500,2021-03-10,Imported Product,,15,1527,Large,47.63278099598,-122.380361958584,King County,53033
6165264,I102,Cool Port Oakland,,575 Maritime Street ,Oakland,CA,94607,(510) 564-8788,2022-01-13,Imported Product,"Dreisbach, Cool Port",05,0511,Large,37.802636999545,-122.320464040302,Alameda County,06001
6165364,I103,"Northwestern Selecta, Inc.",,"641 Calle B, Mario Julia Ind. Park ",San Juan,PR,00922,(787) 781-1950,2022-02-28,Imported Product,,85,8544,Very Small,18.415257990554,-66.097100026019,San Juan,72127
6166849,I1036+V1036,Americold Logistics LLC.,,2321 Industrial Way ,Vineland,NJ,08360,(856) 690-9000,2022-12-09,Certification - Export; Identification - Meat; Identification - Poultry; Imported Product,,80,8013,,39.513240987208,-75.065985030991,Cumberland County,34011
6165420,I105+V105,"MTC Logistics, Inc.",00-695-0257,250 Yeend Street ,Mobile,AL,36603,(443) 727-8800,2021-07-09,Certification - Export; Identification - Meat; Identification - Poultry; Imported Product; Off-Premise Freezing - Meat; Off-Premise Freezing - Poultry,,90,9009,N / A,30.665958999035,-88.045600982404,Mobile County,01097
6165521,I107,"Jose Santiago, Inc.",09-006-7786,"Margianl Carr #5, Km. 4.4, Urb Industrial Luchetti",Bayamon,PR,00959,(787) 288-8835,2022-02-08,Imported Product,,85,8544,N / A,18.426859370166,-66.138551406286,Cataño,72033
6165612,I109,Isla Frio Refrigeration Corporation,117323517,100 Ave. Industrial # 1447 ,Cidra,PR,00739,(401) 487-8808,2022-02-28,Imported Product,,85,8544,Very Small,18.171832979737,-66.157809983081,Cidra,72041
123574,I11,Dynamic Ventures Inc.,,165-K Guerrero Street  Harmon Industrial Park,Harmon,GU,96913,(671) 649-9788,2017-10-16,Imported Product,Quality Distributors,15,1506,N / A,13.500158227217,144.809021014866,,66010
6165495,I111,Detroit Cold Storage,,30405 Industrial Rd ,Livonia,MI,48150,(734) 205-9010,2025-02-23,Imported Product,,50,5008,N / A,42.380493631203,-83.343641867784,Wayne County,26163
6165776,I112+V112,"Lineage Logistics PFS, LLC",,601 Crossroads Blvd ,Logan Township,NJ,08085,(800) 678-7271,2021-03-10,Certification - Export; Identification - Meat; Identification - Poultry; Imported Product,,80,8012,N / A,39.789030315162,-75.34731666236,Gloucester County,34015
123556,I113,"San Rafael Distributing, Inc.",,"1270 N. Industrial Park Avenue, Suite C ",Nogales,AZ,85621,(520) 281-0566,2017-01-14,Imported Product,,05,0504,N / A,31.354855173898,-110.956392451635,Santa Cruz County,04023
123653,I114,"Konoike Pacific California, Inc.",,1420 Coil Avenue ,Wilmington,CA,90744,(310) 518-1000,2018-06-25,Imported Product,,05,0507,N / A,33.794438980424,-118.241242970452,Los Angeles County,06037
6165922,I115,Nital Trading Co Inc,177680683,"11580 West 43rd Ave, Suite 15 ",Hialeah,FL,33018,(786) 367-2537,2022-02-16,Imported Product,,85,8535,Very Small,25.927201256122,-80.371669894257,Miami-Dade County,12086
123606,I116+V116,Celebrity Foods Division of Atalanta Corporation,,1 Atalanta Plaza ,Elizabeth,NJ,07206,(908) 351-8000,2021-09-27,Certification - Export; Imported Product,,80,8016,N / A,40.650603197032,-74.175863201872,Union County,34039
6166069,I119,"Supermercados Econo, Inc.",,"State Road #3 Km. 16.2, Lot 3 Bo. Canovanillas",Canovanas,PR,00729,(787) 620-9292,2022-05-02,Imported Product,,85,8544,Very Small,18.375482287449,-65.904216096681,Canóvanas,72029
6166088,I121+V121,"RSF Inc. ""DBA"" Freezpak Logistics",,1029 Newark Avenue ,Elizabeth,NJ,07208,(973) 523-1899,2022-01-05,Certification - Export; Identification - Meat; Identification - Poultry; Imported Product,Freezpak Logistics,80,8020,N / A,40.686917985178,-74.203244035227,Union County,34039
6166090,I123+V123,"Lineage Logistics, LLC",,3200 Lineage Way ,Portsmouth,VA,23703,(757) 929-0100,2021-09-24,Certification - Export; Identification - Meat; Identification - Poultry; Imported Product; Off-Premise Freezing - Meat; Off-Premise Freezing - Poultry,,80,8019,N / A,36.862638996384,-76.343147017221,Portsmouth city,51740
6166124,I124,"Lineage Logistics, LLC",,2375 Tremont Road ,Savannah,GA,31405,(912) 521-6500,2022-04-11,Imported Product,,85,8509,Small,32.061225018493,-81.143490961354,Chatham County,13051
100218,I125+V19857,Envision Cold,,1600 Donner Avenue ,San Francisco,CA,94124,(415) 822-8445,2021-09-20,Certification - Export; Identification - Meat; Identification - Poultry; Imported Product,United Cold Storage,05,0519,N / A,37.724140015302,-122.392842025679,San Francisco County,06075
123558,I126,"Theriault's Abattoir, Inc.",,316 Hamlin Road ,Hamlin,ME,04785,(207) 868-3344,2024-08-19,Imported Product,,60,6025,Very Small,47.135980272263,-67.905602589206,Aroostook County,23003
6166257,I129,Sorbello Refrigerated Services,,1269 North Main Road ,Vineland,NJ,08360,(707) 718-8294,2021-10-06,Imported Product,Sorbello Refrigerated Services,80,8013,N / A,39.508210001284,-74.990983007006,Cumberland County,34011
123572,I13,"Delaware Avenue Enterprises, Inc.",,c/o Packer Avenue Marine Terminal 3301 S. Columbus Blvd. ,Philadelphia,PA,19148,(215) 551-2735,2018-04-18,Imported Product,,60,6022,,39.902754305408,-75.139758104672,Philadelphia County,42101
6165997,I130+V47695,JE Exports,,1812 Pan American Street ,Calexico,CA,92231,(619) 778-0236,2021-10-01,Certification - Export; Identification - Meat; Identification - Poultry; Imported Product,JE Exports,05,0518,N / A,32.675793153094,-115.37786249562,Imperial County,06025
6166304,I133,Port of Palm Cold Storage Inc.,,1800 Martin Luther King Jr. Blvd. ,Riviera Beach,FL,33404,(561) 881-7256,2021-10-28,Imported Product,,85,8535,,26.770063097712,-80.084780573687,Palm Beach County,12099
6166305,I135,Derstine's Inc.,01-430-4042,3245 State Road ,Sellersville,PA,18960,(212) 572-7000,2021-11-30,Imported Product,,60,6060,Small,40.343939014871,-75.305705031057,Bucks County,42017
123515,I138,"Atkins Sheep Ranch, Inc.",,40880 Encyclopedia Circle  ,Fremont,CA,94538,(510) 440-8700,2021-07-12,Imported Product,,05,0511,N / A,37.516181016116,-121.988022002386,Alameda County,06001
6166389,I140,Interstate Warehousing,,121 Harwood Drive ,Newport News,VA,23603,(757) 887-8100,2021-12-22,Imported Product,,80,8019,N / A,37.177981658456,-76.590375526152,Newport News City,51700
6166393,I141,"Lineage Logistics, LLC",,206 SW Michigan St ,Seattle,WA,98106,(206) 834-9732,2024-02-02,Imported Product,,15,1527,Small,47.541731986004,-122.339135986911,King County,53033
6166415,I143,Americold Logistics LLC,,1301  26th Ave East ,Tacoma,WA,98424,(253) 620-7250,2023-04-25,Imported Product,,15,1527,N / A,47.245873979873,-122.392762984332,Pierce County,53053
6166545,I149,"Lineage Logistics Services, LLC",,1710 Pier B St. ,Long Beach,CA,90813,(562) 637-7730,2022-08-22,Imported Product,,05,0507,N / A,33.777448988416,-118.216597995822,Los Angeles County,06037
123545,I15,NOCS West Gulf,,9223 Texas Hwy 225 ,La Porte,TX,77571,(281) 930-8002,2020-07-29,Imported Product,,40,4032,N / A,29.699031994538,-95.069223034693,Harris County,48201
6166547,I151,"FlexCold, LLC",118316235,11180 Blasius Road ,Jacksonville,FL,29485,(904) 914-4353,2023-01-18,Imported Product,,85,8523,N / A,30.435061999799,-81.572941961499,Duval County,12031
6162715,I153,"Micronesian Brokers, Inc.",77-990-8862,545 Chalan Machuate St. ,Maite,GU,96910,(671) 477-0970,2018-02-08,Imported Product,,15,1506,N / A,13.47556266,144.7685644,,66010
123503,I154,"Livingston International, Inc.",005133874,472 5th Street South ,Pembina,ND,58271,,2021-04-08,Imported Product,"Norman G. Jensen, Inc.",25,2527,Very Small,48.965870015773,-97.252888016986,Pembina County,38067
123692,I158,"Lineage Logistics MTC, LLC",,7950 Oceano Avenue ,Jessup,MD,20794,(240) 517-0889,2021-10-01,Imported Product,,80,8006,N / A,39.157541011999,-76.787420994037,Howard County,24027
123537,I16,Americold Logistics,,1610 Sepulveda Boulevard ,Carson,CA,90745,(310) 632-6265,2021-03-17,Imported Product,,05,0507,N / A,33.807610009707,-118.24254602112,Los Angeles County,06037
6167105,I1651+V1651,RSF Inc dba FreezPak Logistics,,2 Paddock Street ,Woodbridge,NJ,07001,(973) 523-1899,2023-03-31,Certification - Export; Identification - Meat; Identification - Poultry; Imported Product,,80,8020,,40.585287995909,-74.274211011023,Middlesex County,34023
123607,I168,"Goya Foods, Inc.",,350 County Road ,Jersey City,NJ,07307,(201) 348-4900,2020-04-15,Imported Product,,80,8016,N / A,40.759766991604,-74.064888988652,Hudson County,34017
123577,I17,"Lineage Logistics PFS, LLC",611934159,3101 South 3rd Street ,Philadelphia,PA,19148,(215) 271-5600,2021-06-21,Imported Product,,60,6022,,39.906953982966,-75.152863038309,Philadelphia County,42101
123511,I171,Yaong Corporation Rem Center Warehouse,854859910,"Unit 6 Rem Center, Cheribiyan Drive Gualo Rai",Saipan,MP,96950,(670) 235-3890,2017-10-15,Imported Product,,15,1506,N / A,15.203880932,145.760035,Saipan,69110
6167150,I173,50th State Poultry,009202177,98-715 Kuahao Place ,Pearl City,HI,96782,(808) 778-0555,2023-05-03,Imported Product,,15,1505,Small,21.391938017398,-157.955903018804,Honolulu County,15003
123523,I18,Envision Cold,,12190 Rojas Drive ,El Paso,TX,79936,(915) 860-2200,2021-07-07,Imported Product,,40,4022,N / A,31.714791991615,-106.292254015008,El Paso County,48141
123562,I180,"Timberline Cold Storage, Inc.",,108 Densten Road ,Sewell,NJ,08080,(856) 589-3130,2020-11-23,Imported Product,,80,8013,N / A,39.745072107643,-75.112456397671,Gloucester County,34015
6167213,I1811+V1811,Sorbello Refrigerated Services,,3350 Rogerdale Road ,Houston,TX,77042,(804) 370-1460,2023-04-13,Certification - Export; Identification - Meat; Identification - Poultry; Imported Product,Sorbello Refrigerated Services LLC,40,4032,N / A,29.724612012377,-95.563692960685,Harris County,48201
123551,I182+V182,Americold,,540 Franklinville Road ,Mullica Hill,NJ,08062,(856) 285-2663,2021-07-08,Certification - Export; Identification - Meat; Identification - Poultry; Imported Product,,80,8013,N / A,39.720537019763,-75.254597969006,Gloucester County,34015
